"namespace","kind","name","ready","replicas","service_account","role","tier","env","data_classification","exposure","team","containers","images","container_ports","vault_injection","spire_enabled","readonly_rootfs_all","run_as_non_root_all"
"cert-manager","Deployment","cert-manager","1/1","1","cert-manager","","","","","","","cert-manager-controller","quay.io/jetstack/cert-manager-controller:v1.14.7","9402/TCP|9403/TCP","no","no","yes","no"
"cert-manager","Deployment","cert-manager-cainjector","1/1","1","cert-manager-cainjector","","","","","","","cert-manager-cainjector","quay.io/jetstack/cert-manager-cainjector:v1.14.7","","no","no","yes","no"
"cert-manager","Deployment","cert-manager-webhook","1/1","1","cert-manager-webhook","","","","","","","cert-manager-webhook","quay.io/jetstack/cert-manager-webhook:v1.14.7","10250/TCP|6080/TCP","no","no","yes","no"
"cosign-system","Deployment","policy-controller-webhook","1/1","1","policy-controller-webhook","","","","","","","policy-controller-webhook","ghcr.io/sigstore/policy-controller/policy-controller@sha256:0bcd60beb93f4427c29cf3a669743caf58490e98ded4380c33c09f092734a6ab","8443/TCP|9090/TCP","no","no","yes","no"
"data","Deployment","mysql","1/1","1","mysql","db","T1","prod","confidential","cluster-only","data","mysql","mysql:8.0","3306/TCP","no","no","no","no"
"gatekeeper-system","Deployment","gatekeeper-audit","0/0","0","gatekeeper-admin","","","","","","","manager","openpolicyagent/gatekeeper:v3.16.3","8888/TCP|9090/TCP","no","no","yes","yes"
"gatekeeper-system","Deployment","gatekeeper-controller-manager","1/1","1","gatekeeper-admin","","","","","","","manager","openpolicyagent/gatekeeper:v3.16.3","8443/TCP|8888/TCP|9090/TCP","no","no","yes","yes"
"gateway","Deployment","kong-gateway","1/1","1","kong-gateway","proxy","T2","prod","none","external","platform","kong","kong:3.6","8000/TCP|8001/TCP|8100/TCP","no","no","no","no"
"ingress-nginx","Deployment","ingress-nginx-controller","1/1","1","ingress-nginx","","","","","","","controller","registry.k8s.io/ingress-nginx/controller:v1.10.0@sha256:42b3f0e5d0846876b1791cd3afeb5f1cbbe4259d6f35651dcc1b5c980925379c","80/TCP|443/TCP|10254/TCP|8443/TCP","no","no","no","yes"
"job7189-apps","Deployment","candidate-service","1/1","1","candidate-service","api","T2","prod","internal","internal","backend","env-loader;env-watcher;app","busybox@sha256:73aaf090f3d85aa34ee199857f03fa3a95c8ede2ffd4cc2cdb5b94e566b11662;alpine@sha256:de0eb0b3f2a47ba1eb89389859a9bd88b28e82f5826b6969ad604979713c2d4f;100.74.189.43:5443/job7189/candidate-service@sha256:dc23e51cdb268e7578850e0a61a69afc72be0ff5900370ae355599dd843750cf",";;8000/TCP","yes","yes","no","no"
