"namespace","kind","name","type_or_class","ports_or_hosts","selector_or_size","policy_endpoint_selector"
"cert-manager","Service","cert-manager","ClusterIP","tcp-prometheus-servicemonitor:9402->9402/TCP","app.kubernetes.io/component=controller;app.kubernetes.io/instance=cert-manager;app.kubernetes.io/name=cert-manager",""
"cert-manager","Service","cert-manager-webhook","ClusterIP","https:443->https/TCP","app.kubernetes.io/component=webhook;app.kubernetes.io/instance=cert-manager;app.kubernetes.io/name=webhook",""
"cosign-system","Service","policy-controller-webhook-metrics","ClusterIP","metrics:9090->metrics/TCP","app.kubernetes.io/instance=policy-controller;app.kubernetes.io/name=policy-controller;control-plane=policy-controller-webhook",""
"cosign-system","Service","webhook","ClusterIP","https:443->https/TCP","app.kubernetes.io/instance=policy-controller;app.kubernetes.io/name=policy-controller;control-plane=policy-controller-webhook",""
"data","Service","kafka-svc","ClusterIP","plaintext:9092->9092/TCP;controller:9093->9093/TCP","app=kafka",""
"data","Service","mysql","ClusterIP",":3306->3306/TCP","app=mysql",""
"default","Service","kubernetes","ClusterIP","https:443->6443/TCP","",""
"gatekeeper-system","Service","gatekeeper-webhook-service","ClusterIP","https-webhook-server:443->webhook-server/TCP","app=gatekeeper;chart=gatekeeper;control-plane=controller-manager;gatekeeper.sh/operation=webhook;gatekeeper.sh/system=yes;heritage=Helm;release=gatekeeper",""
"gateway","Service","kong-proxy","NodePort","proxy:80->8000/TCP:30000","app=kong-gateway",""
"ingress-nginx","Service","ingress-nginx-controller","NodePort","http:80->80/TCP:30003;https:443->443/TCP:30001","app.kubernetes.io/component=controller;app.kubernetes.io/instance=ingress-nginx;app.kubernetes.io/name=ingress-nginx",""
"ingress-nginx","Service","ingress-nginx-controller-admission","ClusterIP","https-webhook:443->webhook/TCP","app.kubernetes.io/component=controller;app.kubernetes.io/instance=ingress-nginx;app.kubernetes.io/name=ingress-nginx",""
