NAME                                  AGE     VALID
allow-apps-egress-kafka               4h34m   True
allow-apps-intra-ns-services          4h34m   True
allow-dns-egress                      3h55m   True
allow-egress-vault-db                 3h54m   True
allow-identity-to-mysql               3h55m   True
allow-identity-to-vault               3h55m   True
allow-internal-identity               3h54m   True
allow-internal-job-to-workspace       3h54m   True
allow-kong-ingress                    3h54m   True
allow-testclient-egress-to-identity   3h55m   True
default-deny-all                      3h55m   False
default-deny-job7189-apps             3h55m   True
restrict-identity-api-l7              3h55m   True
