NAME                              AGE   VALID
allow-apps-egress-kafka           20d   True
allow-apps-egress-keycloak        8d    True
allow-apps-intra-ns-services      20d   True
allow-egress-vault-db             29d   True
allow-egress-vault-svc            23d   True
allow-external-smtp               8d    True
allow-internal-identity           29d   True
allow-internal-job-to-workspace   29d   True
allow-internal-redis              23d   True
allow-job7189-dns-egress          23d   True
allow-kong-ingress                29d   True
allow-prometheus-scrape-apps      8d    True
default-deny-all                  8d    True
