NAMESPACE            NAME                                            READY   STATUS    RESTARTS         AGE     IP             NODE                    NOMINATED NODE   READINESS GATES
cert-manager         cert-manager-5779d6596f-bgmtn                   1/1     Running   0                5h33m   10.244.2.126   job7189-worker3         <none>           <none>
cert-manager         cert-manager-cainjector-5ddf6799cc-pnqhl        1/1     Running   0                5h33m   10.244.2.177   job7189-worker3         <none>           <none>
cert-manager         cert-manager-webhook-5d4dc79c59-knvh6           1/1     Running   0                5h33m   10.244.3.147   job7189-worker2         <none>           <none>
data                 kafka-0                                         1/1     Running   0                5h25m   10.244.1.84    job7189-worker          <none>           <none>
data                 mysql-778599c76b-spjzf                          1/1     Running   0                5h29m   10.244.3.11    job7189-worker2         <none>           <none>
gateway              kong-gateway-65f9cc5c77-st4jw                   1/1     Running   0                5h24m   10.244.3.116   job7189-worker2         <none>           <none>
ingress-nginx        ingress-nginx-controller-7fbf5b4d96-6jl24       1/1     Running   0                5h32m   10.244.2.2     job7189-worker3         <none>           <none>
job7189-apps         candidate-service-679f888588-ng84h              4/4     Running   0                5h18m   10.244.2.171   job7189-worker3         <none>           <none>
job7189-apps         candidate-service-redis-7b7b888d55-j7zht        1/1     Running   0                5h18m   10.244.1.155   job7189-worker          <none>           <none>
job7189-apps         communication-service-5bfbb46df5-9sjrz          4/4     Running   4 (12m ago)      5h18m   10.244.3.225   job7189-worker2         <none>           <none>
job7189-apps         communication-service-redis-8478c6c85d-k75sd    1/1     Running   0                5h18m   10.244.3.238   job7189-worker2         <none>           <none>
job7189-apps         hiring-service-5f4765cb86-zlcpv                 4/4     Running   0                5h18m   10.244.1.167   job7189-worker          <none>           <none>
job7189-apps         hiring-service-redis-f59fdd58c-ftsn8            1/1     Running   0                5h18m   10.244.3.51    job7189-worker2         <none>           <none>
job7189-apps         identity-service-6b6786795b-r24vg               4/4     Running   0                5h18m   10.244.3.143   job7189-worker2         <none>           <none>
job7189-apps         identity-service-redis-7b849c7c78-br758         1/1     Running   0                5h18m   10.244.1.185   job7189-worker          <none>           <none>
job7189-apps         job-service-7f7d9b7595-phl85                    4/4     Running   0                5h18m   10.244.2.206   job7189-worker3         <none>           <none>
job7189-apps         job-service-redis-7649f65845-q9lqs              1/1     Running   0                5h18m   10.244.1.48    job7189-worker          <none>           <none>
job7189-apps         storage-service-589b454764-f4qqm                4/4     Running   0                5h18m   10.244.1.68    job7189-worker          <none>           <none>
job7189-apps         storage-service-redis-686988956c-jfctn          1/1     Running   0                5h18m   10.244.3.211   job7189-worker2         <none>           <none>
job7189-apps         workspace-service-7bccfb9cd6-4twwn              4/4     Running   0                5h18m   10.244.2.240   job7189-worker3         <none>           <none>
job7189-apps         workspace-service-redis-6bf897c4d7-dzc78        1/1     Running   0                5h18m   10.244.2.14    job7189-worker3         <none>           <none>
kube-system          cilium-8wgpw                                    1/1     Running   0                4h34m   172.18.0.4     job7189-worker          <none>           <none>
kube-system          cilium-9fbfw                                    1/1     Running   0                4h34m   172.18.0.3     job7189-worker3         <none>           <none>
kube-system          cilium-9fslc                                    1/1     Running   0                4h34m   172.18.0.2     job7189-control-plane   <none>           <none>
kube-system          cilium-bshwt                                    1/1     Running   0                4h34m   172.18.0.5     job7189-worker2         <none>           <none>
kube-system          cilium-envoy-7cq26                              1/1     Running   0                5h35m   172.18.0.5     job7189-worker2         <none>           <none>
kube-system          cilium-envoy-9jrws                              1/1     Running   0                5h35m   172.18.0.3     job7189-worker3         <none>           <none>
kube-system          cilium-envoy-mxtf7                              1/1     Running   0                5h35m   172.18.0.4     job7189-worker          <none>           <none>
kube-system          cilium-envoy-ptkxc                              1/1     Running   0                5h35m   172.18.0.2     job7189-control-plane   <none>           <none>
kube-system          cilium-operator-d5845585d-nv676                 1/1     Running   0                5h35m   172.18.0.5     job7189-worker2         <none>           <none>
kube-system          coredns-7d764666f9-876mq                        1/1     Running   0                5h35m   10.244.1.205   job7189-worker          <none>           <none>
kube-system          coredns-7d764666f9-tgp8w                        1/1     Running   0                5h35m   10.244.1.65    job7189-worker          <none>           <none>
kube-system          etcd-job7189-control-plane                      1/1     Running   0                5h35m   172.18.0.2     job7189-control-plane   <none>           <none>
kube-system          hubble-relay-999c5cd6f-t5hbb                    1/1     Running   0                5h35m   10.244.1.116   job7189-worker          <none>           <none>
kube-system          hubble-ui-67d8bff4c4-d2rds                      2/2     Running   0                5h35m   10.244.1.66    job7189-worker          <none>           <none>
kube-system          kube-apiserver-job7189-control-plane            1/1     Running   0                5h35m   172.18.0.2     job7189-control-plane   <none>           <none>
kube-system          kube-controller-manager-job7189-control-plane   1/1     Running   0                5h35m   172.18.0.2     job7189-control-plane   <none>           <none>
kube-system          kube-proxy-8zdfl                                1/1     Running   0                5h35m   172.18.0.4     job7189-worker          <none>           <none>
kube-system          kube-proxy-98dnc                                1/1     Running   0                5h35m   172.18.0.3     job7189-worker3         <none>           <none>
kube-system          kube-proxy-xx7th                                1/1     Running   0                5h35m   172.18.0.2     job7189-control-plane   <none>           <none>
kube-system          kube-proxy-z7577                                1/1     Running   0                5h35m   172.18.0.5     job7189-worker2         <none>           <none>
kube-system          kube-scheduler-job7189-control-plane            1/1     Running   0                5h35m   172.18.0.2     job7189-control-plane   <none>           <none>
kube-system          tetragon-5s2dm                                  2/2     Running   10 (9m7s ago)    3h41m   172.18.0.3     job7189-worker3         <none>           <none>
kube-system          tetragon-8sh4f                                  2/2     Running   11 (24m ago)     3h41m   172.18.0.4     job7189-worker          <none>           <none>
kube-system          tetragon-crphj                                  2/2     Running   12 (2m42s ago)   3h41m   172.18.0.5     job7189-worker2         <none>           <none>
kube-system          tetragon-operator-6f8b69c8d5-rhc6j              1/1     Running   0                3h41m   10.244.0.106   job7189-control-plane   <none>           <none>
local-path-storage   local-path-provisioner-67b8995b4b-jb4nj         1/1     Running   0                5h35m   10.244.1.237   job7189-worker          <none>           <none>
management           kafbat-65b9cdc895-kndwn                         1/1     Running   0                5h25m   10.244.2.218   job7189-worker3         <none>           <none>
management           phpmyadmin-7686567f7-bxnks                      1/1     Running   0                5h29m   10.244.2.61    job7189-worker3         <none>           <none>
monitoring           es-0                                            1/1     Running   0                5h23m   10.244.2.94    job7189-worker3         <none>           <none>
monitoring           filebeat-4bjmf                                  1/1     Running   0                5h22m   172.18.0.4     job7189-worker          <none>           <none>
monitoring           filebeat-ncx2q                                  1/1     Running   0                5h22m   172.18.0.3     job7189-worker3         <none>           <none>
monitoring           filebeat-w296w                                  1/1     Running   0                5h22m   172.18.0.5     job7189-worker2         <none>           <none>
monitoring           grafana-86855f9654-qnkh5                        1/1     Running   0                5h21m   10.244.2.197   job7189-worker3         <none>           <none>
monitoring           kibana-5d65d956cd-7pjqs                         1/1     Running   0                5h23m   10.244.3.117   job7189-worker2         <none>           <none>
monitoring           kube-state-metrics-68ffbf7df-d5rqp              1/1     Running   0                4h37m   10.244.1.27    job7189-worker          <none>           <none>
monitoring           node-exporter-4c2mp                             1/1     Running   0                4h37m   172.18.0.4     job7189-worker          <none>           <none>
monitoring           node-exporter-4cqd2                             1/1     Running   0                4h37m   172.18.0.2     job7189-control-plane   <none>           <none>
monitoring           node-exporter-n54x6                             1/1     Running   0                4h37m   172.18.0.5     job7189-worker2         <none>           <none>
monitoring           node-exporter-plzsg                             1/1     Running   0                4h37m   172.18.0.3     job7189-worker3         <none>           <none>
monitoring           prometheus-7b64bd9bb9-gbv5s                     1/1     Running   0                5h22m   10.244.3.189   job7189-worker2         <none>           <none>
security             keycloak-64475597f7-sz5rn                       1/1     Running   0                5h27m   10.244.3.134   job7189-worker2         <none>           <none>
security             oauth2-proxy-b69d79657-hk6hv                    1/1     Running   0                5h24m   10.244.1.203   job7189-worker          <none>           <none>
vault                vault-0                                         1/1     Running   0                114m    10.244.3.12    job7189-worker2         <none>           <none>
vault                vault-agent-agent-injector-c88f5b9bf-5jj6l      1/1     Running   0                112m    10.244.2.54    job7189-worker3         <none>           <none>
vault                vault-dev-75d87cf48d-rckvg                      1/1     Running   0                114m    10.244.1.243   job7189-worker          <none>           <none>
