NAMESPACE            NAME                                            READY   STATUS             RESTARTS        AGE   IP             NODE                    NOMINATED NODE   READINESS GATES
cert-manager         cert-manager-5779d6596f-s695j                   1/1     Running            0               38m   10.244.3.144   job7189-worker2         <none>           <none>
cert-manager         cert-manager-cainjector-5ddf6799cc-qvf44        1/1     Running            0               38m   10.244.1.90    job7189-worker3         <none>           <none>
cert-manager         cert-manager-webhook-5d4dc79c59-ssbfx           1/1     Running            0               38m   10.244.1.207   job7189-worker3         <none>           <none>
cosign-system        policy-controller-webhook-6f9cfc6d8d-l4crb      1/1     Running            0               68s   10.244.3.142   job7189-worker2         <none>           <none>
data                 kafka-0                                         1/1     Running            0               30m   10.244.1.147   job7189-worker3         <none>           <none>
data                 mysql-668fc484f9-zz59x                          1/1     Running            0               34m   10.244.3.156   job7189-worker2         <none>           <none>
gatekeeper-system    gatekeeper-audit-86f795777f-brwrk               1/1     Running            0               14m   10.244.3.118   job7189-worker2         <none>           <none>
gatekeeper-system    gatekeeper-controller-manager-fdf986cbd-42lsc   1/1     Running            0               14m   10.244.3.246   job7189-worker2         <none>           <none>
gateway              kong-gateway-5fb8847568-z97kn                   1/1     Running            0               29m   10.244.3.3     job7189-worker2         <none>           <none>
ingress-nginx        ingress-nginx-controller-7fbf5b4d96-vqxq6       1/1     Running            0               37m   10.244.3.240   job7189-worker2         <none>           <none>
job7189-apps         candidate-service-6c5997647f-5587r              4/4     Running            1 (5m57s ago)   23m   10.244.3.67    job7189-worker2         <none>           <none>
job7189-apps         candidate-service-redis-8dbc4444-zsls5          1/1     Running            0               23m   10.244.1.115   job7189-worker3         <none>           <none>
job7189-apps         communication-service-66d8884964-89skc          4/4     Running            1 (6m2s ago)    23m   10.244.1.109   job7189-worker3         <none>           <none>
job7189-apps         communication-service-redis-848bb44985-ph47z    1/1     Running            0               23m   10.244.3.172   job7189-worker2         <none>           <none>
job7189-apps         hiring-service-6d7c84bbc7-gb6hr                 4/4     Running            1 (6m40s ago)   23m   10.244.2.33    job7189-worker          <none>           <none>
job7189-apps         hiring-service-redis-66467986cb-bmnjr           1/1     Running            0               23m   10.244.2.212   job7189-worker          <none>           <none>
job7189-apps         identity-service-84dd5f9c9f-mjk4p               4/4     Running            1 (6m20s ago)   23m   10.244.1.170   job7189-worker3         <none>           <none>
job7189-apps         identity-service-redis-58bc5b5fdf-9hhgk         1/1     Running            0               23m   10.244.3.117   job7189-worker2         <none>           <none>
job7189-apps         job-service-d9f8fbd4d-nvqwl                     4/4     Running            1 (6m38s ago)   23m   10.244.2.24    job7189-worker          <none>           <none>
job7189-apps         job-service-redis-7d978bf878-lf7jr              1/1     Running            0               23m   10.244.3.193   job7189-worker2         <none>           <none>
job7189-apps         storage-service-57fccf846f-qx4k2                4/4     Running            1 (6m48s ago)   23m   10.244.1.38    job7189-worker3         <none>           <none>
job7189-apps         storage-service-redis-67999f7dd-z5lxk           1/1     Running            0               23m   10.244.1.52    job7189-worker3         <none>           <none>
job7189-apps         workspace-service-56bd669975-zn5z5              4/4     Running            1 (6m12s ago)   23m   10.244.3.11    job7189-worker2         <none>           <none>
job7189-apps         workspace-service-redis-76b9bf6b4d-vx87r        1/1     Running            0               23m   10.244.3.110   job7189-worker2         <none>           <none>
kube-system          cilium-envoy-bc7ql                              1/1     Running            0               40m   172.18.0.3     job7189-worker          <none>           <none>
kube-system          cilium-envoy-l4dfj                              1/1     Running            0               40m   172.18.0.5     job7189-worker2         <none>           <none>
kube-system          cilium-envoy-vw7p2                              1/1     Running            0               40m   172.18.0.2     job7189-control-plane   <none>           <none>
kube-system          cilium-envoy-x5qhj                              1/1     Running            0               40m   172.18.0.4     job7189-worker3         <none>           <none>
kube-system          cilium-fmk5m                                    1/1     Running            0               17m   172.18.0.5     job7189-worker2         <none>           <none>
kube-system          cilium-kmbj4                                    1/1     Running            0               17m   172.18.0.3     job7189-worker          <none>           <none>
kube-system          cilium-operator-d5845585d-m2w6j                 1/1     Running            0               40m   172.18.0.5     job7189-worker2         <none>           <none>
kube-system          cilium-qcpqp                                    1/1     Running            0               17m   172.18.0.2     job7189-control-plane   <none>           <none>
kube-system          cilium-xg2wc                                    1/1     Running            0               17m   172.18.0.4     job7189-worker3         <none>           <none>
kube-system          coredns-7d764666f9-blj2h                        1/1     Running            0               40m   10.244.2.65    job7189-worker          <none>           <none>
kube-system          coredns-7d764666f9-vlzkq                        1/1     Running            0               40m   10.244.2.196   job7189-worker          <none>           <none>
kube-system          etcd-job7189-control-plane                      1/1     Running            0               40m   172.18.0.2     job7189-control-plane   <none>           <none>
kube-system          hubble-relay-999c5cd6f-vtjzp                    1/1     Running            0               40m   10.244.2.82    job7189-worker          <none>           <none>
kube-system          hubble-ui-67d8bff4c4-5rn4w                      2/2     Running            0               40m   10.244.2.50    job7189-worker          <none>           <none>
kube-system          kube-apiserver-job7189-control-plane            1/1     Running            0               40m   172.18.0.2     job7189-control-plane   <none>           <none>
kube-system          kube-controller-manager-job7189-control-plane   1/1     Running            0               40m   172.18.0.2     job7189-control-plane   <none>           <none>
kube-system          kube-proxy-4sxnj                                1/1     Running            0               40m   172.18.0.5     job7189-worker2         <none>           <none>
kube-system          kube-proxy-f7g68                                1/1     Running            0               40m   172.18.0.4     job7189-worker3         <none>           <none>
kube-system          kube-proxy-qw7kp                                1/1     Running            0               40m   172.18.0.2     job7189-control-plane   <none>           <none>
kube-system          kube-proxy-r5g5w                                1/1     Running            0               40m   172.18.0.3     job7189-worker          <none>           <none>
kube-system          kube-scheduler-job7189-control-plane            1/1     Running            0               40m   172.18.0.2     job7189-control-plane   <none>           <none>
kube-system          tetragon-2njnj                                  2/2     Running            0               3m    172.18.0.4     job7189-worker3         <none>           <none>
kube-system          tetragon-hh4bq                                  2/2     Running            0               3m    172.18.0.5     job7189-worker2         <none>           <none>
kube-system          tetragon-operator-6f8b69c8d5-m2482              1/1     Running            0               3m    10.244.0.99    job7189-control-plane   <none>           <none>
kube-system          tetragon-t8525                                  2/2     Running            0               3m    172.18.0.3     job7189-worker          <none>           <none>
local-path-storage   local-path-provisioner-67b8995b4b-2kzns         1/1     Running            0               40m   10.244.2.73    job7189-worker          <none>           <none>
management           kafbat-7c6bd7577d-qvnn5                         1/1     Running            0               30m   10.244.2.236   job7189-worker          <none>           <none>
management           phpmyadmin-68d5df54bd-4k44d                     1/1     Running            0               34m   10.244.1.49    job7189-worker3         <none>           <none>
monitoring           es-0                                            1/1     Running            0               28m   10.244.3.29    job7189-worker2         <none>           <none>
monitoring           filebeat-fnvhb                                  1/1     Running            0               27m   172.18.0.4     job7189-worker3         <none>           <none>
monitoring           filebeat-k46j2                                  1/1     Running            0               27m   172.18.0.5     job7189-worker2         <none>           <none>
monitoring           filebeat-tnzlk                                  1/1     Running            0               27m   172.18.0.3     job7189-worker          <none>           <none>
monitoring           grafana-77fcc4b588-2qdk9                        1/1     Running            0               26m   10.244.1.235   job7189-worker3         <none>           <none>
monitoring           kibana-55f7f8646d-6xqvg                         1/1     Running            0               28m   10.244.2.126   job7189-worker          <none>           <none>
monitoring           kube-state-metrics-68ffbf7df-bxlwz              1/1     Running            0               19m   10.244.3.10    job7189-worker2         <none>           <none>
monitoring           kube-state-metrics-6b448bf5f6-b42l5             0/1     CrashLoopBackOff   9 (42s ago)     15m   10.244.3.254   job7189-worker2         <none>           <none>
monitoring           node-exporter-c8q2f                             1/1     Running            0               15m   172.18.0.3     job7189-worker          <none>           <none>
monitoring           node-exporter-fwtq5                             1/1     Running            0               15m   172.18.0.4     job7189-worker3         <none>           <none>
monitoring           node-exporter-k56m2                             1/1     Running            0               15m   172.18.0.2     job7189-control-plane   <none>           <none>
monitoring           node-exporter-wwxrb                             1/1     Running            0               15m   172.18.0.5     job7189-worker2         <none>           <none>
monitoring           prometheus-5d7cfdfd4b-xsgml                     1/1     Running            0               27m   10.244.1.249   job7189-worker3         <none>           <none>
security             keycloak-67c5bdcbf9-zhk74                       1/1     Running            0               33m   10.244.3.162   job7189-worker2         <none>           <none>
security             oauth2-proxy-6ffc8496b6-2scmx                   1/1     Running            0               29m   10.244.2.88    job7189-worker          <none>           <none>
security             zta-pdp-5dd55df67d-5xkd6                        1/1     Running            0               14m   10.244.2.231   job7189-worker          <none>           <none>
vault                vault-0                                         1/1     Running            0               35m   10.244.1.22    job7189-worker3         <none>           <none>
vault                vault-agent-agent-injector-59999f8dd-8w8fj      1/1     Running            0               16m   10.244.2.108   job7189-worker          <none>           <none>
vault                vault-dev-858fd5cd6b-wbt4p                      1/1     Running            0               35m   10.244.1.27    job7189-worker3         <none>           <none>
