NAMESPACE            NAME                                            READY   STATUS    RESTARTS        AGE     IP             NODE                    NOMINATED NODE   READINESS GATES
cert-manager         cert-manager-5779d6596f-jktlk                   1/1     Running   0               41m     10.244.2.20    job7189-worker          <none>           <none>
cert-manager         cert-manager-cainjector-5ddf6799cc-c7rl4        1/1     Running   0               41m     10.244.1.59    job7189-worker3         <none>           <none>
cert-manager         cert-manager-webhook-5d4dc79c59-vjq2g           1/1     Running   0               41m     10.244.1.31    job7189-worker3         <none>           <none>
cosign-system        policy-controller-webhook-76f9d45bf4-wxfsx      0/1     Running   0               16m     10.244.2.92    job7189-worker          <none>           <none>
data                 kafka-0                                         1/1     Running   0               33m     10.244.1.168   job7189-worker3         <none>           <none>
data                 mysql-668fc484f9-5d7rh                          1/1     Running   0               37m     10.244.1.140   job7189-worker3         <none>           <none>
gatekeeper-system    gatekeeper-audit-86f795777f-wtz5h               1/1     Running   0               19m     10.244.1.235   job7189-worker3         <none>           <none>
gatekeeper-system    gatekeeper-controller-manager-fdf986cbd-bm6n8   1/1     Running   0               19m     10.244.1.108   job7189-worker3         <none>           <none>
gateway              kong-gateway-5fb8847568-v9vgf                   1/1     Running   0               32m     10.244.3.150   job7189-worker2         <none>           <none>
ingress-nginx        ingress-nginx-controller-7fbf5b4d96-4lv4b       1/1     Running   0               40m     10.244.2.221   job7189-worker          <none>           <none>
job7189-apps         candidate-service-6c5997647f-8587j              4/4     Running   4 (14m ago)     27m     10.244.3.176   job7189-worker2         <none>           <none>
job7189-apps         candidate-service-redis-8dbc4444-wv496          1/1     Running   1 (14m ago)     27m     10.244.2.193   job7189-worker          <none>           <none>
job7189-apps         communication-service-66d8884964-xwvwp          4/4     Running   4 (13m ago)     27m     10.244.1.186   job7189-worker3         <none>           <none>
job7189-apps         communication-service-redis-848bb44985-6vl4r    1/1     Running   1 (13m ago)     27m     10.244.1.126   job7189-worker3         <none>           <none>
job7189-apps         hiring-service-6d7c84bbc7-g9phk                 4/4     Running   4 (13m ago)     27m     10.244.2.228   job7189-worker          <none>           <none>
job7189-apps         hiring-service-redis-66467986cb-9fsjh           1/1     Running   1 (13m ago)     27m     10.244.2.245   job7189-worker          <none>           <none>
job7189-apps         identity-service-84dd5f9c9f-kfd88               4/4     Running   4 (13m ago)     27m     10.244.3.94    job7189-worker2         <none>           <none>
job7189-apps         identity-service-redis-58bc5b5fdf-bddvd         1/1     Running   1 (13m ago)     27m     10.244.1.5     job7189-worker3         <none>           <none>
job7189-apps         job-service-d9f8fbd4d-gt7h4                     4/4     Running   4 (13m ago)     27m     10.244.3.159   job7189-worker2         <none>           <none>
job7189-apps         job-service-redis-7d978bf878-brtfw              1/1     Running   1 (13m ago)     27m     10.244.2.37    job7189-worker          <none>           <none>
job7189-apps         storage-service-57fccf846f-84c4n                4/4     Running   4 (12m ago)     27m     10.244.1.194   job7189-worker3         <none>           <none>
