NAMESPACE            NAME                                            READY   STATUS    RESTARTS        AGE    IP             NODE                    NOMINATED NODE   READINESS GATES
cert-manager         cert-manager-5779d6596f-m5gbj                   1/1     Running   0               116m   10.244.3.162   job7189-worker2         <none>           <none>
cert-manager         cert-manager-cainjector-5ddf6799cc-528hp        1/1     Running   0               116m   10.244.3.61    job7189-worker2         <none>           <none>
cert-manager         cert-manager-webhook-5d4dc79c59-bp2hk           1/1     Running   0               116m   10.244.2.132   job7189-worker          <none>           <none>
data                 kafka-0                                         1/1     Running   0               109m   10.244.3.245   job7189-worker2         <none>           <none>
data                 mysql-668fc484f9-8dstv                          1/1     Running   0               113m   10.244.2.234   job7189-worker          <none>           <none>
falco                falco-7bbkm                                     1/1     Running   0               27m    10.244.2.70    job7189-worker          <none>           <none>
falco                falco-falcosidekick-bd4c99f5b-sl6ww             1/1     Running   0               27m    10.244.3.36    job7189-worker2         <none>           <none>
falco                falco-l8bfp                                     1/1     Running   0               27m    10.244.1.247   job7189-worker3         <none>           <none>
falco                falco-sfv48                                     1/1     Running   0               27m    10.244.3.149   job7189-worker2         <none>           <none>
falco                falco-tzgw4                                     1/1     Running   0               27m    10.244.0.40    job7189-control-plane   <none>           <none>
gateway              kong-gateway-5fb8847568-v4tsk                   1/1     Running   0               109m   10.244.3.218   job7189-worker2         <none>           <none>
job7189-apps         candidate-service-7c9f674f69-z6gzt              4/4     Running   0               102m   10.244.2.87    job7189-worker          <none>           <none>
job7189-apps         candidate-service-redis-8dbc4444-wx5qq          1/1     Running   0               102m   10.244.3.140   job7189-worker2         <none>           <none>
job7189-apps         communication-service-f4cc9fbb-n9chb            4/4     Running   0               102m   10.244.3.197   job7189-worker2         <none>           <none>
job7189-apps         communication-service-redis-848bb44985-x57pv    1/1     Running   0               102m   10.244.2.235   job7189-worker          <none>           <none>
job7189-apps         hiring-service-784c85b555-hstl4                 4/4     Running   0               102m   10.244.1.176   job7189-worker3         <none>           <none>
job7189-apps         hiring-service-redis-66467986cb-7vmqs           1/1     Running   0               102m   10.244.3.103   job7189-worker2         <none>           <none>
job7189-apps         identity-service-dc76c68c7-5cxkj                4/4     Running   0               102m   10.244.2.77    job7189-worker          <none>           <none>
job7189-apps         identity-service-redis-58bc5b5fdf-tzccl         1/1     Running   0               102m   10.244.1.118   job7189-worker3         <none>           <none>
job7189-apps         job-service-5f5947c4-n4qjr                      4/4     Running   0               102m   10.244.3.124   job7189-worker2         <none>           <none>
job7189-apps         job-service-redis-7d978bf878-b5ntf              1/1     Running   0               102m   10.244.2.178   job7189-worker          <none>           <none>
job7189-apps         storage-service-74679bbf59-6grtg                4/4     Running   0               102m   10.244.1.108   job7189-worker3         <none>           <none>
job7189-apps         storage-service-redis-67999f7dd-ttv59           1/1     Running   0               102m   10.244.2.18    job7189-worker          <none>           <none>
job7189-apps         workspace-service-74ff96c877-grx9p              4/4     Running   0               102m   10.244.2.33    job7189-worker          <none>           <none>
job7189-apps         workspace-service-redis-76b9bf6b4d-h8p7p        1/1     Running   0               102m   10.244.3.210   job7189-worker2         <none>           <none>
kube-system          cilium-8h5z4                                    1/1     Running   0               80m    172.18.0.5     job7189-worker2         <none>           <none>
kube-system          cilium-envoy-4ggvb                              1/1     Running   0               118m   172.18.0.4     job7189-control-plane   <none>           <none>
kube-system          cilium-envoy-7c75h                              1/1     Running   0               118m   172.18.0.2     job7189-worker          <none>           <none>
kube-system          cilium-envoy-crfjp                              1/1     Running   0               118m   172.18.0.3     job7189-worker3         <none>           <none>
kube-system          cilium-envoy-g55cr                              1/1     Running   0               118m   172.18.0.5     job7189-worker2         <none>           <none>
kube-system          cilium-hcp59                                    1/1     Running   0               80m    172.18.0.3     job7189-worker3         <none>           <none>
kube-system          cilium-operator-788c799db4-fc2cb                1/1     Running   0               118m   172.18.0.2     job7189-worker          <none>           <none>
kube-system          cilium-v6s5r                                    1/1     Running   0               80m    172.18.0.2     job7189-worker          <none>           <none>
kube-system          cilium-vh25d                                    1/1     Running   0               80m    172.18.0.4     job7189-control-plane   <none>           <none>
kube-system          coredns-7d764666f9-bgn4w                        1/1     Running   0               119m   10.244.1.70    job7189-worker3         <none>           <none>
kube-system          coredns-7d764666f9-rsx44                        1/1     Running   0               119m   10.244.1.189   job7189-worker3         <none>           <none>
kube-system          etcd-job7189-control-plane                      1/1     Running   0               119m   172.18.0.4     job7189-control-plane   <none>           <none>
kube-system          hubble-relay-999c5cd6f-m2n4r                    1/1     Running   0               118m   10.244.1.122   job7189-worker3         <none>           <none>
kube-system          hubble-ui-67d8bff4c4-r6rrs                      2/2     Running   0               118m   10.244.1.134   job7189-worker3         <none>           <none>
kube-system          kube-apiserver-job7189-control-plane            1/1     Running   0               119m   172.18.0.4     job7189-control-plane   <none>           <none>
kube-system          kube-controller-manager-job7189-control-plane   1/1     Running   0               119m   172.18.0.4     job7189-control-plane   <none>           <none>
kube-system          kube-proxy-6sp46                                1/1     Running   0               119m   172.18.0.5     job7189-worker2         <none>           <none>
kube-system          kube-proxy-mskbx                                1/1     Running   0               119m   172.18.0.4     job7189-control-plane   <none>           <none>
kube-system          kube-proxy-xfhlr                                1/1     Running   0               119m   172.18.0.2     job7189-worker          <none>           <none>
kube-system          kube-proxy-xrlbq                                1/1     Running   0               119m   172.18.0.3     job7189-worker3         <none>           <none>
kube-system          kube-scheduler-job7189-control-plane            1/1     Running   0               119m   172.18.0.4     job7189-control-plane   <none>           <none>
kube-system          tetragon-fzjj8                                  2/2     Running   3 (3m3s ago)    69m    172.18.0.2     job7189-worker          <none>           <none>
kube-system          tetragon-jrncc                                  2/2     Running   4 (8m38s ago)   69m    172.18.0.5     job7189-worker2         <none>           <none>
kube-system          tetragon-nb2qq                                  2/2     Running   5 (4m27s ago)   69m    172.18.0.3     job7189-worker3         <none>           <none>
kube-system          tetragon-operator-6f8b69c8d5-45bdv              1/1     Running   0               69m    10.244.0.132   job7189-control-plane   <none>           <none>
local-path-storage   local-path-provisioner-67b8995b4b-z8xms         1/1     Running   0               119m   10.244.1.52    job7189-worker3         <none>           <none>
management           kafbat-7c6bd7577d-q28zm                         1/1     Running   0               109m   10.244.1.62    job7189-worker3         <none>           <none>
management           phpmyadmin-68d5df54bd-87pjg                     1/1     Running   0               113m   10.244.3.73    job7189-worker2         <none>           <none>
monitoring           es-0                                            1/1     Running   0               108m   10.244.1.78    job7189-worker3         <none>           <none>
monitoring           filebeat-6gksr                                  1/1     Running   0               107m   172.18.0.2     job7189-worker          <none>           <none>
monitoring           filebeat-ntxqc                                  1/1     Running   0               107m   172.18.0.3     job7189-worker3         <none>           <none>
monitoring           filebeat-pl92d                                  1/1     Running   0               107m   172.18.0.5     job7189-worker2         <none>           <none>
monitoring           grafana-77fcc4b588-bc6mm                        1/1     Running   0               106m   10.244.1.85    job7189-worker3         <none>           <none>
monitoring           hubble-flow-shipper-2gpfs                       1/1     Running   0               33m    10.244.0.57    job7189-control-plane   <none>           <none>
monitoring           hubble-flow-shipper-7vsb2                       1/1     Running   0               33m    10.244.2.151   job7189-worker          <none>           <none>
monitoring           hubble-flow-shipper-nrmzm                       1/1     Running   0               33m    10.244.1.191   job7189-worker3         <none>           <none>
monitoring           hubble-flow-shipper-wj9r6                       1/1     Running   0               33m    10.244.3.71    job7189-worker2         <none>           <none>
monitoring           kibana-55f7f8646d-whkmq                         1/1     Running   0               108m   10.244.2.106   job7189-worker          <none>           <none>
monitoring           kube-state-metrics-5c57b9bcd8-s47zq             1/1     Running   0               99m    10.244.3.183   job7189-worker2         <none>           <none>
monitoring           node-exporter-588h2                             1/1     Running   0               99m    172.18.0.2     job7189-worker          <none>           <none>
monitoring           node-exporter-6pzxl                             1/1     Running   0               99m    172.18.0.5     job7189-worker2         <none>           <none>
monitoring           node-exporter-k6v6z                             1/1     Running   0               99m    172.18.0.4     job7189-control-plane   <none>           <none>
monitoring           node-exporter-rf6lc                             1/1     Running   0               99m    172.18.0.3     job7189-worker3         <none>           <none>
monitoring           prometheus-5d7cfdfd4b-qr9ld                     1/1     Running   0               106m   10.244.2.154   job7189-worker          <none>           <none>
security             keycloak-7657998b6f-mm25n                       1/1     Running   0               112m   10.244.2.209   job7189-worker          <none>           <none>
security             oauth2-proxy-858fb8b566-mn2qq                   1/1     Running   0               108m   10.244.3.209   job7189-worker2         <none>           <none>
vault                vault-0                                         1/1     Running   0               115m   10.244.3.109   job7189-worker2         <none>           <none>
vault                vault-agent-agent-injector-c88f5b9bf-g9742      1/1     Running   0               114m   10.244.2.161   job7189-worker          <none>           <none>
vault                vault-dev-858fd5cd6b-28gdt                      1/1     Running   0               115m   10.244.3.223   job7189-worker2         <none>           <none>
