NAMESPACE            NAME                                            READY   STATUS    RESTARTS   AGE     IP             NODE                    NOMINATED NODE   READINESS GATES
cert-manager         cert-manager-5779d6596f-5lr9d                   1/1     Running   0          56m     10.244.3.247   job7189-worker          <none>           <none>
cert-manager         cert-manager-cainjector-5ddf6799cc-kjs7p        1/1     Running   0          56m     10.244.2.43    job7189-worker3         <none>           <none>
cert-manager         cert-manager-webhook-5d4dc79c59-kr726           1/1     Running   0          56m     10.244.2.162   job7189-worker3         <none>           <none>
data                 kafka-0                                         1/1     Running   0          40m     10.244.2.36    job7189-worker3         <none>           <none>
data                 mysql-668fc484f9-x7ksb                          1/1     Running   0          48m     10.244.3.117   job7189-worker          <none>           <none>
gateway              kong-gateway-5fb8847568-mfbc2                   1/1     Running   0          39m     10.244.2.84    job7189-worker3         <none>           <none>
ingress-nginx        ingress-nginx-controller-7fbf5b4d96-dl8fc       1/1     Running   0          55m     10.244.3.214   job7189-worker          <none>           <none>
job7189-apps         candidate-service-7c9f674f69-42zwq              4/4     Running   0          6m37s   10.244.3.10    job7189-worker          <none>           <none>
job7189-apps         candidate-service-redis-8dbc4444-pljdq          1/1     Running   0          6m38s   10.244.3.23    job7189-worker          <none>           <none>
job7189-apps         communication-service-f4cc9fbb-6kfgc            4/4     Running   0          6m38s   10.244.1.243   job7189-worker2         <none>           <none>
job7189-apps         communication-service-redis-848bb44985-hzwc5    1/1     Running   0          6m40s   10.244.3.3     job7189-worker          <none>           <none>
job7189-apps         hiring-service-784c85b555-qcgb2                 4/4     Running   0          6m38s   10.244.3.234   job7189-worker          <none>           <none>
job7189-apps         hiring-service-redis-66467986cb-pwk82           1/1     Running   0          6m40s   10.244.1.209   job7189-worker2         <none>           <none>
job7189-apps         identity-service-dc76c68c7-fmd9h                4/4     Running   0          6m36s   10.244.1.149   job7189-worker2         <none>           <none>
job7189-apps         identity-service-redis-58bc5b5fdf-hlx7v         1/1     Running   0          6m38s   10.244.2.82    job7189-worker3         <none>           <none>
job7189-apps         job-service-5f5947c4-x4n6g                      4/4     Running   0          6m35s   10.244.2.105   job7189-worker3         <none>           <none>
job7189-apps         job-service-redis-7d978bf878-8r8gm              1/1     Running   0          6m37s   10.244.1.30    job7189-worker2         <none>           <none>
job7189-apps         storage-service-74679bbf59-cvb2l                4/4     Running   0          6m38s   10.244.2.56    job7189-worker3         <none>           <none>
job7189-apps         storage-service-redis-67999f7dd-l44nh           1/1     Running   0          6m40s   10.244.1.200   job7189-worker2         <none>           <none>
