NAMESPACE            NAME                                            READY   STATUS    RESTARTS      AGE     IP             NODE                    NOMINATED NODE   READINESS GATES
cert-manager         cert-manager-5779d6596f-c4zb5                   1/1     Running   0             115m    10.244.2.127   job7189-worker2         <none>           <none>
cert-manager         cert-manager-cainjector-5ddf6799cc-5xz8j        1/1     Running   0             115m    10.244.2.6     job7189-worker2         <none>           <none>
cert-manager         cert-manager-webhook-5d4dc79c59-2bm56           1/1     Running   0             115m    10.244.3.230   job7189-worker3         <none>           <none>
cosign-system        policy-controller-webhook-76f9d45bf4-9w9nv      1/1     Running   0             80m     10.244.2.161   job7189-worker2         <none>           <none>
data                 kafka-0                                         1/1     Running   0             102m    10.244.2.197   job7189-worker2         <none>           <none>
data                 mysql-668fc484f9-nlwtz                          1/1     Running   0             106m    10.244.3.61    job7189-worker3         <none>           <none>
gatekeeper-system    gatekeeper-audit-85f79bd77b-wk7px               1/1     Running   0             3m      10.244.3.110   job7189-worker3         <none>           <none>
gatekeeper-system    gatekeeper-controller-manager-b9894d9-qr2qq     1/1     Running   0             3m      10.244.3.33    job7189-worker3         <none>           <none>
gateway              kong-gateway-5fb8847568-9pp72                   1/1     Running   0             101m    10.244.2.139   job7189-worker2         <none>           <none>
ingress-nginx        ingress-nginx-controller-7fbf5b4d96-blt7j       1/1     Running   0             114m    10.244.2.212   job7189-worker2         <none>           <none>
job7189-apps         candidate-service-7c7d889c58-m7rxx              4/4     Running   0             81m     10.244.1.235   job7189-worker          <none>           <none>
job7189-apps         candidate-service-redis-8dbc4444-vvgz2          1/1     Running   0             95m     10.244.1.155   job7189-worker          <none>           <none>
job7189-apps         communication-service-5f87896f76-xds75          4/4     Running   0             81m     10.244.2.124   job7189-worker2         <none>           <none>
job7189-apps         communication-service-redis-848bb44985-2kq5m    1/1     Running   0             95m     10.244.1.238   job7189-worker          <none>           <none>
job7189-apps         hiring-service-7bdd44fd8f-xjbcd                 4/4     Running   0             81m     10.244.3.253   job7189-worker3         <none>           <none>
job7189-apps         hiring-service-redis-66467986cb-sr67l           1/1     Running   0             95m     10.244.3.62    job7189-worker3         <none>           <none>
job7189-apps         identity-service-8684c9d757-27xmd               4/4     Running   0             81m     10.244.1.142   job7189-worker          <none>           <none>
job7189-apps         identity-service-redis-58bc5b5fdf-l2l2r         1/1     Running   0             95m     10.244.2.59    job7189-worker2         <none>           <none>
job7189-apps         job-service-75454fb866-w4pkf                    4/4     Running   0             80m     10.244.2.234   job7189-worker2         <none>           <none>
job7189-apps         job-service-redis-7d978bf878-hw9gf              1/1     Running   0             95m     10.244.1.251   job7189-worker          <none>           <none>
job7189-apps         storage-service-745bc86fb6-dh4h5                4/4     Running   0             80m     10.244.3.100   job7189-worker3         <none>           <none>
job7189-apps         storage-service-redis-67999f7dd-kmt9d           1/1     Running   0             95m     10.244.3.92    job7189-worker3         <none>           <none>
job7189-apps         workspace-service-65fbcdfcc4-9dcc4              4/4     Running   0             80m     10.244.1.44    job7189-worker          <none>           <none>
job7189-apps         workspace-service-redis-76b9bf6b4d-mdvp8        1/1     Running   0             95m     10.244.1.121   job7189-worker          <none>           <none>
kube-system          cilium-4dcrq                                    1/1     Running   0             76m     172.18.0.5     job7189-worker          <none>           <none>
kube-system          cilium-7dmvg                                    1/1     Running   0             78m     172.18.0.3     job7189-control-plane   <none>           <none>
kube-system          cilium-envoy-2nj88                              1/1     Running   0             117m    172.18.0.5     job7189-worker          <none>           <none>
kube-system          cilium-envoy-6t5sp                              1/1     Running   0             117m    172.18.0.2     job7189-worker2         <none>           <none>
kube-system          cilium-envoy-tm798                              1/1     Running   0             117m    172.18.0.3     job7189-control-plane   <none>           <none>
kube-system          cilium-envoy-zjpcf                              1/1     Running   0             117m    172.18.0.4     job7189-worker3         <none>           <none>
kube-system          cilium-operator-788c799db4-cf9nk                1/1     Running   0             117m    172.18.0.4     job7189-worker3         <none>           <none>
kube-system          cilium-xmf5h                                    1/1     Running   0             77m     172.18.0.2     job7189-worker2         <none>           <none>
kube-system          cilium-zscvl                                    1/1     Running   0             77m     172.18.0.4     job7189-worker3         <none>           <none>
kube-system          coredns-7d764666f9-h9kt8                        1/1     Running   0             117m    10.244.1.232   job7189-worker          <none>           <none>
kube-system          coredns-7d764666f9-rpnj7                        1/1     Running   0             117m    10.244.1.160   job7189-worker          <none>           <none>
kube-system          etcd-job7189-control-plane                      1/1     Running   0             117m    172.18.0.3     job7189-control-plane   <none>           <none>
kube-system          hubble-relay-999c5cd6f-zt4cd                    1/1     Running   0             117m    10.244.1.193   job7189-worker          <none>           <none>
kube-system          hubble-ui-67d8bff4c4-qkgsb                      2/2     Running   0             117m    10.244.1.63    job7189-worker          <none>           <none>
kube-system          kube-apiserver-job7189-control-plane            1/1     Running   0             118m    172.18.0.3     job7189-control-plane   <none>           <none>
kube-system          kube-controller-manager-job7189-control-plane   1/1     Running   0             117m    172.18.0.3     job7189-control-plane   <none>           <none>
kube-system          kube-proxy-7kxbl                                1/1     Running   0             117m    172.18.0.3     job7189-control-plane   <none>           <none>
kube-system          kube-proxy-9sg2s                                1/1     Running   0             117m    172.18.0.5     job7189-worker          <none>           <none>
kube-system          kube-proxy-bbgtr                                1/1     Running   0             117m    172.18.0.2     job7189-worker2         <none>           <none>
kube-system          kube-proxy-zzt59                                1/1     Running   0             117m    172.18.0.4     job7189-worker3         <none>           <none>
kube-system          kube-scheduler-job7189-control-plane            1/1     Running   0             117m    172.18.0.3     job7189-control-plane   <none>           <none>
kube-system          metrics-server-94d8f7d95-4xg6w                  1/1     Running   0             111m    10.244.3.225   job7189-worker3         <none>           <none>
kube-system          tetragon-52wwd                                  2/2     Running   0             86m     172.18.0.5     job7189-worker          <none>           <none>
kube-system          tetragon-dsbtm                                  2/2     Running   0             86m     172.18.0.4     job7189-worker3         <none>           <none>
kube-system          tetragon-operator-6f8b69c8d5-ml8t6              1/1     Running   0             86m     10.244.0.23    job7189-control-plane   <none>           <none>
kube-system          tetragon-x8gnw                                  2/2     Running   0             86m     172.18.0.2     job7189-worker2         <none>           <none>
local-path-storage   local-path-provisioner-67b8995b4b-rxqwp         1/1     Running   0             117m    10.244.1.221   job7189-worker          <none>           <none>
monitoring           es-0                                            1/1     Running   0             100m    10.244.1.176   job7189-worker          <none>           <none>
monitoring           filebeat-gd6dz                                  1/1     Running   0             99m     172.18.0.5     job7189-worker          <none>           <none>
monitoring           filebeat-htxqd                                  1/1     Running   0             99m     172.18.0.2     job7189-worker2         <none>           <none>
monitoring           filebeat-zrjld                                  1/1     Running   0             99m     172.18.0.4     job7189-worker3         <none>           <none>
monitoring           hubble-flow-shipper-bm45z                       1/1     Running   0             76m     10.244.0.91    job7189-control-plane   <none>           <none>
monitoring           hubble-flow-shipper-ggpsp                       1/1     Running   0             76m     10.244.3.75    job7189-worker3         <none>           <none>
monitoring           hubble-flow-shipper-j5r2w                       1/1     Running   0             76m     10.244.2.12    job7189-worker2         <none>           <none>
monitoring           hubble-flow-shipper-nj2qh                       1/1     Running   0             76m     10.244.1.118   job7189-worker          <none>           <none>
monitoring           kube-state-metrics-856b75dfd5-v2cbs             1/1     Running   1 (75m ago)   87m     10.244.1.10    job7189-worker          <none>           <none>
monitoring           node-exporter-c4wgp                             1/1     Running   0             86m     172.18.0.5     job7189-worker          <none>           <none>
monitoring           node-exporter-dh4bx                             1/1     Running   0             86m     172.18.0.4     job7189-worker3         <none>           <none>
monitoring           node-exporter-ffsq4                             1/1     Running   0             86m     172.18.0.3     job7189-control-plane   <none>           <none>
monitoring           node-exporter-h2n6t                             1/1     Running   0             87m     172.18.0.2     job7189-worker2         <none>           <none>
security             keycloak-7657998b6f-25p4t                       1/1     Running   0             105m    10.244.3.26    job7189-worker3         <none>           <none>
security             oauth2-proxy-d75995f4d-cp5rm                    1/1     Running   0             100m    10.244.1.116   job7189-worker          <none>           <none>
security             zta-pdp-5dd55df67d-8nfr8                        1/1     Running   0             2m11s   10.244.3.57    job7189-worker3         <none>           <none>
spire                spiffe-csi-driver-mpq4b                         2/2     Running   0             85m     10.244.3.215   job7189-worker3         <none>           <none>
