NAMESPACE            NAME                                            READY   STATUS    RESTARTS   AGE    IP             NODE                    NOMINATED NODE   READINESS GATES
cert-manager         cert-manager-5779d6596f-m7cks                   1/1     Running   0          43m    10.244.2.146   job7189-worker2         <none>           <none>
cert-manager         cert-manager-cainjector-5ddf6799cc-6m48j        1/1     Running   0          43m    10.244.2.172   job7189-worker2         <none>           <none>
cert-manager         cert-manager-webhook-5d4dc79c59-jhvx9           1/1     Running   0          43m    10.244.3.40    job7189-worker3         <none>           <none>
data                 kafka-0                                         1/1     Running   0          30m    10.244.2.252   job7189-worker2         <none>           <none>
data                 mysql-668fc484f9-dvp4f                          1/1     Running   0          34m    10.244.3.142   job7189-worker3         <none>           <none>
gatekeeper-system    gatekeeper-audit-85f79bd77b-tjqg4               1/1     Running   0          3m9s   10.244.1.15    job7189-worker          <none>           <none>
gatekeeper-system    gatekeeper-controller-manager-b9894d9-5jccb     1/1     Running   0          3m9s   10.244.1.157   job7189-worker          <none>           <none>
gateway              kong-gateway-5fb8847568-xw7pn                   1/1     Running   0          29m    10.244.2.100   job7189-worker2         <none>           <none>
ingress-nginx        ingress-nginx-controller-7fbf5b4d96-cqcm4       1/1     Running   0          43m    10.244.3.153   job7189-worker3         <none>           <none>
job7189-apps         candidate-service-7c9f674f69-mxnpg              4/4     Running   0          21m    10.244.2.163   job7189-worker2         <none>           <none>
job7189-apps         candidate-service-redis-8dbc4444-j9ptt          1/1     Running   0          21m    10.244.2.248   job7189-worker2         <none>           <none>
job7189-apps         communication-service-f4cc9fbb-66gb8            4/4     Running   0          21m    10.244.1.246   job7189-worker          <none>           <none>
job7189-apps         communication-service-redis-848bb44985-6m8qx    1/1     Running   0          21m    10.244.2.162   job7189-worker2         <none>           <none>
job7189-apps         hiring-service-784c85b555-f97mh                 4/4     Running   0          21m    10.244.3.204   job7189-worker3         <none>           <none>
job7189-apps         hiring-service-redis-66467986cb-hwq9t           1/1     Running   0          21m    10.244.3.159   job7189-worker3         <none>           <none>
job7189-apps         identity-service-dc76c68c7-xzzmx                4/4     Running   0          21m    10.244.1.250   job7189-worker          <none>           <none>
job7189-apps         identity-service-redis-58bc5b5fdf-x6ps9         1/1     Running   0          21m    10.244.3.37    job7189-worker3         <none>           <none>
job7189-apps         job-service-5f5947c4-jmw5x                      4/4     Running   0          21m    10.244.3.242   job7189-worker3         <none>           <none>
job7189-apps         job-service-redis-7d978bf878-wmvxx              1/1     Running   0          21m    10.244.2.219   job7189-worker2         <none>           <none>
job7189-apps         storage-service-74679bbf59-vx5hk                4/4     Running   0          21m    10.244.3.69    job7189-worker3         <none>           <none>
job7189-apps         storage-service-redis-67999f7dd-2qp9x           1/1     Running   0          21m    10.244.1.36    job7189-worker          <none>           <none>
job7189-apps         workspace-service-74ff96c877-kxpbf              4/4     Running   0          21m    10.244.2.180   job7189-worker2         <none>           <none>
job7189-apps         workspace-service-redis-76b9bf6b4d-fccv4        1/1     Running   0          21m    10.244.3.140   job7189-worker3         <none>           <none>
kube-system          cilium-d4ht9                                    1/1     Running   0          15m    172.18.0.2     job7189-control-plane   <none>           <none>
kube-system          cilium-envoy-4cq8j                              1/1     Running   0          45m    172.18.0.3     job7189-worker          <none>           <none>
kube-system          cilium-envoy-cw7tx                              1/1     Running   0          45m    172.18.0.2     job7189-control-plane   <none>           <none>
kube-system          cilium-envoy-hzbd9                              1/1     Running   0          45m    172.18.0.4     job7189-worker3         <none>           <none>
kube-system          cilium-envoy-sbhzn                              1/1     Running   0          45m    172.18.0.5     job7189-worker2         <none>           <none>
kube-system          cilium-operator-788c799db4-ldz2n                1/1     Running   0          45m    172.18.0.4     job7189-worker3         <none>           <none>
kube-system          cilium-v42sl                                    1/1     Running   0          15m    172.18.0.3     job7189-worker          <none>           <none>
kube-system          cilium-vg42r                                    1/1     Running   0          15m    172.18.0.5     job7189-worker2         <none>           <none>
kube-system          cilium-w7j99                                    1/1     Running   0          15m    172.18.0.4     job7189-worker3         <none>           <none>
kube-system          coredns-7d764666f9-jk6sg                        1/1     Running   0          45m    10.244.1.138   job7189-worker          <none>           <none>
kube-system          coredns-7d764666f9-t2ngv                        1/1     Running   0          45m    10.244.1.195   job7189-worker          <none>           <none>
kube-system          etcd-job7189-control-plane                      1/1     Running   0          45m    172.18.0.2     job7189-control-plane   <none>           <none>
kube-system          hubble-relay-999c5cd6f-mxstg                    1/1     Running   0          45m    10.244.1.232   job7189-worker          <none>           <none>
kube-system          hubble-ui-67d8bff4c4-62mg7                      2/2     Running   0          45m    10.244.1.16    job7189-worker          <none>           <none>
kube-system          kube-apiserver-job7189-control-plane            1/1     Running   0          45m    172.18.0.2     job7189-control-plane   <none>           <none>
kube-system          kube-controller-manager-job7189-control-plane   1/1     Running   0          45m    172.18.0.2     job7189-control-plane   <none>           <none>
kube-system          kube-proxy-6twqw                                1/1     Running   0          45m    172.18.0.4     job7189-worker3         <none>           <none>
kube-system          kube-proxy-jjvrv                                1/1     Running   0          45m    172.18.0.2     job7189-control-plane   <none>           <none>
kube-system          kube-proxy-nxvrv                                1/1     Running   0          45m    172.18.0.3     job7189-worker          <none>           <none>
kube-system          kube-proxy-zvcpl                                1/1     Running   0          45m    172.18.0.5     job7189-worker2         <none>           <none>
kube-system          kube-scheduler-job7189-control-plane            1/1     Running   0          45m    172.18.0.2     job7189-control-plane   <none>           <none>
kube-system          metrics-server-94d8f7d95-ghcvg                  1/1     Running   0          39m    10.244.2.74    job7189-worker2         <none>           <none>
kube-system          tetragon-cf6wf                                  2/2     Running   0          13m    172.18.0.4     job7189-worker3         <none>           <none>
kube-system          tetragon-cfx7r                                  2/2     Running   0          13m    172.18.0.5     job7189-worker2         <none>           <none>
kube-system          tetragon-operator-6f8b69c8d5-2wgsf              1/1     Running   0          13m    10.244.0.165   job7189-control-plane   <none>           <none>
kube-system          tetragon-rhzn7                                  2/2     Running   0          13m    172.18.0.3     job7189-worker          <none>           <none>
local-path-storage   local-path-provisioner-67b8995b4b-rg5tq         1/1     Running   0          45m    10.244.1.65    job7189-worker          <none>           <none>
management           kafbat-7c6bd7577d-xdtlq                         1/1     Running   0          30m    10.244.1.154   job7189-worker          <none>           <none>
management           phpmyadmin-68d5df54bd-q86kh                     1/1     Running   0          34m    10.244.2.22    job7189-worker2         <none>           <none>
monitoring           es-0                                            1/1     Running   0          28m    10.244.1.147   job7189-worker          <none>           <none>
monitoring           filebeat-6xmvw                                  1/1     Running   0          26m    172.18.0.3     job7189-worker          <none>           <none>
monitoring           filebeat-7zkhm                                  1/1     Running   0          26m    172.18.0.4     job7189-worker3         <none>           <none>
monitoring           filebeat-kmxjt                                  1/1     Running   0          26m    172.18.0.5     job7189-worker2         <none>           <none>
monitoring           grafana-77fcc4b588-sspkr                        1/1     Running   0          25m    10.244.2.238   job7189-worker2         <none>           <none>
monitoring           kibana-55f7f8646d-plvbk                         1/1     Running   0          28m    10.244.1.206   job7189-worker          <none>           <none>
monitoring           kube-state-metrics-856b75dfd5-kqfs5             1/1     Running   0          13m    10.244.1.88    job7189-worker          <none>           <none>
monitoring           node-exporter-5znns                             1/1     Running   0          13m    172.18.0.2     job7189-control-plane   <none>           <none>
monitoring           node-exporter-grp98                             1/1     Running   0          13m    172.18.0.4     job7189-worker3         <none>           <none>
monitoring           node-exporter-l4hms                             1/1     Running   0          13m    172.18.0.3     job7189-worker          <none>           <none>
monitoring           node-exporter-zxx9c                             1/1     Running   0          13m    172.18.0.5     job7189-worker2         <none>           <none>
monitoring           prometheus-5d7cfdfd4b-vn8nv                     1/1     Running   0          26m    10.244.2.147   job7189-worker2         <none>           <none>
security             keycloak-7657998b6f-jwlh6                       1/1     Running   0          33m    10.244.3.160   job7189-worker3         <none>           <none>
security             oauth2-proxy-6989577c9c-68j29                   1/1     Running   0          29m    10.244.3.115   job7189-worker3         <none>           <none>
security             zta-pdp-5dd55df67d-nwl86                        1/1     Running   0          2m2s   10.244.2.174   job7189-worker2         <none>           <none>
spire                spiffe-csi-driver-h8tzr                         2/2     Running   0          12m    10.244.1.190   job7189-worker          <none>           <none>
spire                spiffe-csi-driver-jrmxt                         2/2     Running   0          12m    10.244.2.101   job7189-worker2         <none>           <none>
spire                spiffe-csi-driver-nkbnt                         2/2     Running   0          12m    10.244.3.62    job7189-worker3         <none>           <none>
spire                spire-agent-d9nh6                               1/1     Running   0          12m    172.18.0.3     job7189-worker          <none>           <none>
spire                spire-agent-hpfn8                               1/1     Running   0          12m    172.18.0.5     job7189-worker2         <none>           <none>
spire                spire-agent-jh5jn                               1/1     Running   0          12m    172.18.0.4     job7189-worker3         <none>           <none>
spire                spire-agent-vqnrj                               1/1     Running   0          12m    172.18.0.2     job7189-control-plane   <none>           <none>
spire                spire-server-0                                  2/2     Running   0          12m    10.244.2.140   job7189-worker2         <none>           <none>
vault                vault-0                                         1/1     Running   0          36m    10.244.2.21    job7189-worker2         <none>           <none>
vault                vault-agent-agent-injector-59999f8dd-tdvmw      1/1     Running   0          13m    10.244.1.219   job7189-worker          <none>           <none>
vault                vault-dev-858fd5cd6b-z72kg                      1/1     Running   0          36m    10.244.3.200   job7189-worker3         <none>           <none>
