NAMESPACE            NAME                                            READY   STATUS      RESTARTS         AGE     IP                NODE        NOMINATED NODE   READINESS GATES
cert-manager         cert-manager-bbc84b684-mb54m                    1/1     Running     35 (3h36m ago)   2d12h   10.244.2.56       7189srv03   <none>           <none>
cert-manager         cert-manager-cainjector-67fd5f9578-75rrv        1/1     Running     24 (7h54m ago)   2d12h   10.244.2.176      7189srv03   <none>           <none>
cert-manager         cert-manager-webhook-5b7d7fbfbd-chngs           1/1     Running     43               2d12h   10.244.2.72       7189srv03   <none>           <none>
cosign-system        policy-controller-webhook-7c468b6c8d-cwhq5      1/1     Running     7 (3h12m ago)    13h     10.244.1.60       7189srv02   <none>           <none>
data                 kafka-0                                         1/1     Running     0                13h     10.244.4.157      7189srv05   <none>           <none>
data                 mysql-f5fb77767-rgl9t                           1/1     Running     0                13h     10.244.4.220      7189srv05   <none>           <none>
gatekeeper-system    gatekeeper-audit-77dcbdd958-lzx8h               1/1     Running     3 (3h36m ago)    2d14h   10.244.2.15       7189srv03   <none>           <none>
gatekeeper-system    gatekeeper-controller-manager-f87d7d679-92z6b   1/1     Running     1 (3h37m ago)    13h     10.244.1.154      7189srv02   <none>           <none>
gateway              kong-gateway-6b6859f975-n4h47                   1/1     Running     2 (3h36m ago)    2d12h   10.244.2.32       7189srv03   <none>           <none>
ingress-nginx        ingress-nginx-controller-588cc59c45-8l8tk       1/1     Running     1 (3h37m ago)    11h     10.244.1.194      7189srv02   <none>           <none>
job7189-apps         candidate-service-67b47b8568-dbgs2              4/4     Running     0                91m     10.244.1.187      7189srv02   <none>           <none>
job7189-apps         candidate-service-redis-5779df77fd-fpsrc        1/1     Running     0                91m     10.244.4.208      7189srv05   <none>           <none>
job7189-apps         communication-service-985bfd575-z484h           4/4     Running     0                18m     10.244.1.99       7189srv02   <none>           <none>
job7189-apps         communication-service-redis-67d556676c-lsddn    1/1     Running     0                91m     10.244.1.44       7189srv02   <none>           <none>
job7189-apps         hiring-service-7d98f85445-pnfg7                 4/4     Running     0                91m     10.244.1.105      7189srv02   <none>           <none>
job7189-apps         hiring-service-redis-6945dffb4c-s4ctm           1/1     Running     0                91m     10.244.1.225      7189srv02   <none>           <none>
job7189-apps         identity-service-7d96b99dd8-qmbqt               4/4     Running     0                91m     10.244.2.13       7189srv03   <none>           <none>
job7189-apps         identity-service-redis-5657c455c9-wq5pp         1/1     Running     0                91m     10.244.1.61       7189srv02   <none>           <none>
job7189-apps         job-service-6c45458cc6-t5r6g                    4/4     Running     0                91m     10.244.2.41       7189srv03   <none>           <none>
