NAMESPACE            NAME                                                    READY   STATUS      RESTARTS          AGE     IP                NODE        NOMINATED NODE   READINESS GATES
cert-manager         cert-manager-bbc84b684-ggzwl                            1/1     Running     10 (3h23m ago)    6d1h    10.244.1.17       7189srv02   <none>           <none>
cert-manager         cert-manager-cainjector-67fd5f9578-pprgk                1/1     Running     10 (3h23m ago)    6d1h    10.244.2.95       7189srv03   <none>           <none>
cert-manager         cert-manager-webhook-5b7d7fbfbd-2nc5p                   1/1     Running     10 (3h23m ago)    6d1h    10.244.1.45       7189srv02   <none>           <none>
cosign-system        policy-controller-webhook-6c487dcfdc-ptqcd              1/1     Running     46 (3h19m ago)    9d      10.244.2.8        7189srv03   <none>           <none>
data                 kafka-0                                                 1/1     Running     0                 3h7m    10.244.4.164      7189srv05   <none>           <none>
data                 mysql-6c697678cf-cz2ls                                  1/1     Running     0                 3h7m    10.244.2.225      7189srv03   <none>           <none>
default              node-debugger-7189srv01-nhsfm                           0/1     Completed   0                 47h     100.114.68.15     7189srv01   <none>           <none>
default              node-debugger-7189srv02-bhq2d                           0/1     Completed   0                 47h     100.108.231.127   7189srv02   <none>           <none>
default              node-debugger-7189srv03-b8lxn                           0/1     Completed   0                 47h     100.112.57.2      7189srv03   <none>           <none>
gatekeeper-system    gatekeeper-controller-manager-f87d7d679-5kg4p           1/1     Running     10 (3h23m ago)    6d1h    10.244.2.3        7189srv03   <none>           <none>
gateway              kong-gateway-64d6d7454d-db7md                           1/1     Running     0                 23m     10.244.2.243      7189srv03   <none>           <none>
ingress-nginx        ingress-nginx-controller-56b4cd4657-qqtq5               1/1     Running     11 (3h23m ago)    6d1h    10.244.1.177      7189srv02   <none>           <none>
job7189-apps         candidate-service-6549cd7d6d-kz89h                      5/5     Running     0                 3h2m    10.244.1.175      7189srv02   <none>           <none>
job7189-apps         candidate-service-redis-5b484c7f88-lcc6f                1/1     Running     0                 3h3m    10.244.2.4        7189srv03   <none>           <none>
job7189-apps         communication-service-6dc7d6dd46-4sbt5                  5/5     Running     0                 3h2m    10.244.1.79       7189srv02   <none>           <none>
job7189-apps         communication-service-redis-fc6645965-mfgpz             1/1     Running     0                 3h2m    10.244.4.6        7189srv05   <none>           <none>
job7189-apps         hiring-service-85c57cc589-pzmrg                         5/5     Running     0                 3h1m    10.244.4.83       7189srv05   <none>           <none>
job7189-apps         hiring-service-redis-6585c68cb9-6m8tn                   1/1     Running     0                 3h1m    10.244.2.194      7189srv03   <none>           <none>
job7189-apps         identity-service-657f64c7d5-nfq9z                       5/5     Running     0                 3h3m    10.244.1.109      7189srv02   <none>           <none>
job7189-apps         identity-service-redis-569fb4c444-7hkqh                 1/1     Running     0                 3h3m    10.244.2.96       7189srv03   <none>           <none>
job7189-apps         job-service-ff67cf45c-qrmpx                             5/5     Running     0                 20m     10.244.2.158      7189srv03   <none>           <none>
job7189-apps         job-service-redis-5b987-4jcjn                           1/1     Running     0                 3h3m    10.244.2.217      7189srv03   <none>           <none>
job7189-apps         storage-service-7c5db66b7-8xf7c                         5/5     Running     0                 3h1m    10.244.1.148      7189srv02   <none>           <none>
