NAMESPACE            NAME                                                    READY   STATUS            RESTARTS          AGE     IP                NODE        NOMINATED NODE   READINESS GATES
cert-manager         cert-manager-bbc84b684-ggzwl                            1/1     Running           11 (6h5m ago)     6d16h   10.244.1.198      7189srv02   <none>           <none>
cert-manager         cert-manager-cainjector-67fd5f9578-pprgk                1/1     Running           11 (6h5m ago)     6d17h   10.244.2.58       7189srv03   <none>           <none>
cert-manager         cert-manager-webhook-5b7d7fbfbd-2nc5p                   1/1     Running           11 (6h5m ago)     6d16h   10.244.1.71       7189srv02   <none>           <none>
cosign-system        policy-controller-webhook-6c487dcfdc-ptqcd              1/1     Running           47 (6h5m ago)     10d     10.244.2.212      7189srv03   <none>           <none>
data                 kafka-0                                                 1/1     Running           0                 18s     10.244.4.124      7189srv05   <none>           <none>
data                 mysql-6c697678cf-58p6h                                  1/1     Running           0                 5h56m   10.244.2.208      7189srv03   <none>           <none>
default              node-debugger-7189srv01-nhsfm                           0/1     Completed         0                 2d14h   100.114.68.15     7189srv01   <none>           <none>
default              node-debugger-7189srv02-bhq2d                           0/1     Completed         0                 2d14h   100.108.231.127   7189srv02   <none>           <none>
default              node-debugger-7189srv03-b8lxn                           0/1     Completed         0                 2d14h   100.112.57.2      7189srv03   <none>           <none>
gatekeeper-system    gatekeeper-controller-manager-f87d7d679-5kg4p           1/1     Running           11 (6h5m ago)     6d17h   10.244.2.164      7189srv03   <none>           <none>
gateway              kong-gateway-64d6d7454d-db7md                           1/1     Running           1 (6h5m ago)      16h     10.244.2.241      7189srv03   <none>           <none>
ingress-nginx        ingress-nginx-controller-56b4cd4657-qqtq5               1/1     Running           12 (6h5m ago)     6d17h   10.244.1.143      7189srv02   <none>           <none>
job7189-apps         candidate-service-6549cd7d6d-cpxwk                      5/5     Running           0                 5h40m   10.244.1.17       7189srv02   <none>           <none>
job7189-apps         candidate-service-redis-5b484c7f88-44b5x                1/1     Running           0                 5h40m   10.244.4.56       7189srv05   <none>           <none>
job7189-apps         communication-service-6dc7d6dd46-kvw2c                  5/5     Running           0                 5h40m   10.244.1.56       7189srv02   <none>           <none>
job7189-apps         communication-service-redis-fc6645965-p9c48             1/1     Running           0                 5h40m   10.244.4.16       7189srv05   <none>           <none>
job7189-apps         hiring-service-85c57cc589-9jhk5                         5/5     Running           0                 5h39m   10.244.4.172      7189srv05   <none>           <none>
job7189-apps         hiring-service-redis-6585c68cb9-ffp9f                   1/1     Running           0                 5h39m   10.244.4.208      7189srv05   <none>           <none>
job7189-apps         identity-service-657f64c7d5-kbrkp                       5/5     Running           0                 5h41m   10.244.1.240      7189srv02   <none>           <none>
job7189-apps         identity-service-redis-569fb4c444-rlgg6                 1/1     Running           0                 5h41m   10.244.1.239      7189srv02   <none>           <none>
job7189-apps         job-service-ff67cf45c-8kmgr                             5/5     Running           0                 5h41m   10.244.1.145      7189srv02   <none>           <none>
job7189-apps         job-service-redis-5b987-m8td5                           1/1     Running           0                 5h41m   10.244.1.250      7189srv02   <none>           <none>
job7189-apps         storage-service-7c5db66b7-dpfds                         5/5     Running           0                 5h39m   10.244.1.20       7189srv02   <none>           <none>
job7189-apps         storage-service-redis-78cb79b765-kj7b7                  1/1     Running           0                 5h39m   10.244.4.33       7189srv05   <none>           <none>
job7189-apps         workspace-service-6c68c569d9-vfxjf                      5/5     Running           0                 5h39m   10.244.1.169      7189srv02   <none>           <none>
job7189-apps         workspace-service-redis-65cf6d9fd-jznjz                 1/1     Running           0                 5h39m   10.244.2.94       7189srv03   <none>           <none>
kube-system          cilium-envoy-fkb5x                                      1/1     Running           35 (6h ago)       17d     172.16.82.128     7189srv05   <none>           <none>
kube-system          cilium-envoy-tdnfg                                      1/1     Running           28 (6h5m ago)     17d     100.108.231.127   7189srv02   <none>           <none>
kube-system          cilium-envoy-vpshq                                      1/1     Running           28 (6h5m ago)     17d     100.114.68.15     7189srv01   <none>           <none>
kube-system          cilium-envoy-z4ks4                                      1/1     Running           28 (6h5m ago)     17d     100.112.57.2      7189srv03   <none>           <none>
kube-system          cilium-f7sw9                                            1/1     Running           1 (6h5m ago)      15h     100.112.57.2      7189srv03   <none>           <none>
kube-system          cilium-gsm9b                                            1/1     Running           1 (6h5m ago)      15h     100.114.68.15     7189srv01   <none>           <none>
kube-system          cilium-k9v4w                                            1/1     Running           1 (6h5m ago)      15h     100.108.231.127   7189srv02   <none>           <none>
kube-system          cilium-operator-74c98fff9d-nn59f                        1/1     Running           30 (6h2m ago)     10d     100.114.68.15     7189srv01   <none>           <none>
kube-system          cilium-qwfqk                                            1/1     Running           1 (6h ago)        15h     172.16.82.128     7189srv05   <none>           <none>
kube-system          containerd-certs-setup-jrh4d                            1/1     Running           2 (6h5m ago)      28h     10.244.0.221      7189srv01   <none>           <none>
kube-system          containerd-certs-setup-jswjp                            1/1     Running           2 (6h5m ago)      28h     10.244.1.41       7189srv02   <none>           <none>
kube-system          containerd-certs-setup-wdgtk                            1/1     Running           2 (6h5m ago)      28h     10.244.2.177      7189srv03   <none>           <none>
kube-system          containerd-certs-setup-z2gm8                            1/1     Running           2 (6h ago)        28h     10.244.4.186      7189srv05   <none>           <none>
kube-system          coredns-6cf5f79cf9-bf89p                                1/1     Running           0                 5h58m   10.244.1.176      7189srv02   <none>           <none>
kube-system          coredns-6cf5f79cf9-gkq2b                                1/1     Running           1 (6h5m ago)      18h     10.244.0.211      7189srv01   <none>           <none>
kube-system          etcd-7189srv01                                          1/1     Running           69 (6h5m ago)     31d     100.114.68.15     7189srv01   <none>           <none>
kube-system          hubble-relay-7c66999c8-cr4mf                            1/1     Running           24 (6h1m ago)     6d16h   10.244.1.105      7189srv02   <none>           <none>
kube-system          hubble-ui-7858459f57-v9wr5                              2/2     Running           22 (6h5m ago)     6d16h   10.244.1.34       7189srv02   <none>           <none>
kube-system          kube-apiserver-7189srv01                                1/1     Running           69 (6h5m ago)     31d     100.114.68.15     7189srv01   <none>           <none>
kube-system          kube-controller-manager-7189srv01                       1/1     Running           50 (6h5m ago)     31d     100.114.68.15     7189srv01   <none>           <none>
kube-system          kube-scheduler-7189srv01                                1/1     Running           50 (6h5m ago)     31d     100.114.68.15     7189srv01   <none>           <none>
kube-system          metrics-server-8454bcb474-8stzs                         1/1     Running           15 (6h5m ago)     10d     10.244.2.179      7189srv03   <none>           <none>
kube-system          tetragon-8gcfs                                          2/2     Running           104 (5h58m ago)   18d     172.16.82.128     7189srv05   <none>           <none>
kube-system          tetragon-fjpd7                                          2/2     Running           88 (6h3m ago)     18d     100.112.57.2      7189srv03   <none>           <none>
kube-system          tetragon-m7qvb                                          2/2     Running           87 (6h3m ago)     18d     100.108.231.127   7189srv02   <none>           <none>
kube-system          tetragon-operator-5dd7674d4d-thrrz                      1/1     Running           11 (6h5m ago)     6d17h   10.244.2.76       7189srv03   <none>           <none>
local-path-storage   local-path-provisioner-79874bcbd9-kjgtz                 1/1     Running           11 (6h5m ago)     6d17h   10.244.2.233      7189srv03   <none>           <none>
monitoring           es-0                                                    0/1     PodInitializing   0                 16s     10.244.4.237      7189srv05   <none>           <none>
monitoring           filebeat-hcqkw                                          1/1     Running           1 (6h ago)        15h     172.16.82.128     7189srv05   <none>           <none>
monitoring           filebeat-ld6kw                                          1/1     Running           2 (5h46m ago)     15h     100.112.57.2      7189srv03   <none>           <none>
monitoring           filebeat-wxptk                                          1/1     Running           1 (6h5m ago)      15h     100.108.231.127   7189srv02   <none>           <none>
monitoring           hubble-flow-shipper-b6b6j                               1/1     Running           1 (6h5m ago)      15h     10.244.2.7        7189srv03   <none>           <none>
monitoring           hubble-flow-shipper-fsvk6                               1/1     Running           1 (6h5m ago)      15h     10.244.0.127      7189srv01   <none>           <none>
monitoring           hubble-flow-shipper-spm44                               1/1     Running           1 (6h5m ago)      15h     10.244.1.125      7189srv02   <none>           <none>
monitoring           hubble-flow-shipper-xt5l9                               1/1     Running           1 (6h ago)        15h     10.244.4.245      7189srv05   <none>           <none>
monitoring           kube-state-metrics-678985f974-4vns7                     1/1     Running           8 (6h5m ago)      28h     10.244.2.104      7189srv03   <none>           <none>
monitoring           node-exporter-r96vc                                     1/1     Running           43 (6h5m ago)     29d     100.114.68.15     7189srv01   <none>           <none>
monitoring           node-exporter-r9csz                                     1/1     Running           44 (6h5m ago)     29d     100.108.231.127   7189srv02   <none>           <none>
