NAMESPACE            NAME                                                    READY   STATUS      RESTARTS         AGE     IP                NODE        NOMINATED NODE   READINESS GATES
cert-manager         cert-manager-bbc84b684-ggzwl                            1/1     Running     15 (3h ago)      8d      10.244.1.178      7189srv02   <none>           <none>
cert-manager         cert-manager-cainjector-67fd5f9578-pprgk                1/1     Running     15 (3h ago)      8d      10.244.2.58       7189srv03   <none>           <none>
cert-manager         cert-manager-webhook-5b7d7fbfbd-2nc5p                   1/1     Running     15 (3h ago)      8d      10.244.1.229      7189srv02   <none>           <none>
cosign-system        policy-controller-webhook-6c487dcfdc-ptqcd              1/1     Running     51 (3h ago)      11d     10.244.2.100      7189srv03   <none>           <none>
data                 kafka-0                                                 1/1     Running     0                51m     10.244.4.190      7189srv05   <none>           <none>
data                 mysql-f5fb77767-mfc4l                                   1/1     Running     0                110m    10.244.4.36       7189srv05   <none>           <none>
default              node-debugger-7189srv01-nhsfm                           0/1     Completed   0                4d9h    100.114.68.15     7189srv01   <none>           <none>
default              node-debugger-7189srv02-bhq2d                           0/1     Completed   0                4d9h    100.108.231.127   7189srv02   <none>           <none>
default              node-debugger-7189srv03-b8lxn                           0/1     Completed   0                4d9h    100.112.57.2      7189srv03   <none>           <none>
gatekeeper-system    gatekeeper-controller-manager-f87d7d679-5kg4p           1/1     Running     15 (3h ago)      8d      10.244.2.217      7189srv03   <none>           <none>
gateway              kong-gateway-64d6d7454d-db7md                           1/1     Running     5 (3h ago)       2d11h   10.244.2.11       7189srv03   <none>           <none>
ingress-nginx        ingress-nginx-controller-56b4cd4657-qqtq5               1/1     Running     16 (3h ago)      8d      10.244.1.39       7189srv02   <none>           <none>
job7189-apps         candidate-service-7ffc7b57b7-jwb9g                      5/5     Running     0                154m    10.244.1.203      7189srv02   <none>           <none>
job7189-apps         candidate-service-redis-5b484c7f88-dzjz5                1/1     Running     0                154m    10.244.4.205      7189srv05   <none>           <none>
job7189-apps         communication-service-6dc7d6dd46-xwxd5                  5/5     Running     0                154m    10.244.1.68       7189srv02   <none>           <none>
job7189-apps         communication-service-redis-fc6645965-tqgkl             1/1     Running     0                154m    10.244.4.181      7189srv05   <none>           <none>
job7189-apps         hiring-service-85c57cc589-rl284                         5/5     Running     0                143m    10.244.1.118      7189srv02   <none>           <none>
job7189-apps         hiring-service-redis-6585c68cb9-jr75g                   1/1     Running     0                144m    10.244.4.224      7189srv05   <none>           <none>
job7189-apps         identity-service-657f64c7d5-955nn                       5/5     Running     0                164m    10.244.1.96       7189srv02   <none>           <none>
